iter	Logloss
0	0.6665569229
1	0.6461792767
2	0.627006811
3	0.6045142556
4	0.5859907486
5	0.5703526009
6	0.5550666354
7	0.5398041883
8	0.5260881474
9	0.5106426121
10	0.4986909538
11	0.4868617079
12	0.4756888042
13	0.4665488878
14	0.4569431477
15	0.447803065
16	0.4401291277
17	0.43164789
18	0.4222538238
19	0.4145952308
20	0.4069273926
21	0.3999895295
22	0.3937862637
23	0.3888357161
24	0.3837752247
25	0.3786604236
26	0.3739061971
27	0.3691874269
28	0.3643266334
29	0.3605539897
30	0.3566727783
31	0.3536293777
32	0.3510818651
33	0.3480521005
34	0.3458339254
35	0.3425940231
36	0.3398692634
37	0.3370399841
38	0.3345221901
39	0.3322000687
40	0.3295580292
41	0.3273841497
42	0.3257597288
43	0.3239978691
44	0.3220467388
45	0.3205303113
46	0.3190454945
47	0.3172043656
48	0.3155744591
49	0.3140661409
50	0.3127608153
51	0.3118720201
52	0.3105214976
53	0.3095904489
54	0.3087564488
55	0.3076567103
56	0.3065954294
57	0.3055598949
58	0.3046326626
59	0.3037068632
60	0.302929444
61	0.3021840712
62	0.3013247442
63	0.3007790743
64	0.3001862383
65	0.2997347204
66	0.299277321
67	0.2986029866
68	0.2980200269
69	0.2975107212
70	0.2971383067
71	0.2964264982
72	0.2957989807
73	0.2954325433
74	0.2950273822
75	0.2945575174
76	0.2941160183
77	0.2934402114
78	0.2929439007
79	0.2924581202
80	0.2919911945
81	0.2916095992
82	0.2912416409
83	0.2910750286
84	0.2907894949
85	0.290352082
86	0.2900050545
87	0.2896844999
88	0.2894308556
89	0.2890311776
90	0.2887244421
91	0.2884141512
92	0.2880857614
93	0.2878700411
94	0.2875382956
95	0.2872452497
96	0.2870015698
97	0.2868018015
98	0.2866088239
99	0.2863223139
100	0.2860450996
101	0.2858869305
102	0.2856671461
103	0.2854634738
104	0.2852902514
105	0.2849928646
106	0.2848477671
107	0.2847296918
108	0.2846240703
109	0.2843456355
110	0.2841730216
111	0.2839920621
112	0.2838815636
113	0.2836537625
114	0.2835778575
115	0.2833049116
116	0.2831528723
117	0.2828947443
118	0.28274286
119	0.2826205466
120	0.282501513
121	0.2823419116
122	0.2820903229
123	0.281901704
124	0.2818150146
125	0.2815716698
126	0.2814102768
127	0.2811728573
128	0.2810034293
129	0.2808584913
130	0.2806936261
131	0.2804740039
132	0.2802552762
133	0.2801386535
134	0.2800505842
135	0.2799277386
136	0.2797616286
137	0.2796243167
138	0.2795000102
139	0.2793108599
140	0.2791937753
141	0.2790526644
142	0.2789157918
143	0.278769669
144	0.2785850394
145	0.2784457699
146	0.2783348244
147	0.2781408833
148	0.2780384004
149	0.2779288803
150	0.2777704846
151	0.2775950495
152	0.2774385436
153	0.2773449839
154	0.2771288901
155	0.2769157403
156	0.2767302496
157	0.2765299895
158	0.2763999362
159	0.2762879712
160	0.2762097239
161	0.2760705173
162	0.2758985279
163	0.2757917603
164	0.2756517176
165	0.2755681312
166	0.2754519131
167	0.2753454036
168	0.2752822863
169	0.2751422497
170	0.2749969722
171	0.274856487
172	0.274736482
173	0.274539769
174	0.274442533
175	0.2742385995
176	0.2741436775
177	0.2740908074
178	0.274009804
179	0.2738422069
180	0.2737538662
181	0.2736819201
182	0.2735841433
183	0.2734522067
184	0.2732976195
185	0.273123431
186	0.2729930094
187	0.2729855048
188	0.2728206435
189	0.2727294575
190	0.2726216595
191	0.27257979
192	0.2724798035
193	0.2722951547
194	0.2722234135
195	0.2721590566
196	0.2720231834
197	0.2718572528
198	0.2717134535
199	0.2715845055
200	0.2715573146
201	0.2714156247
202	0.2713564188
203	0.2712636254
204	0.2711904995
205	0.2711192424
206	0.2710198757
207	0.2708215493
208	0.2707565699
209	0.2706404038
210	0.2705712892
211	0.270477295
212	0.2704539787
213	0.2703800409
214	0.2703027625
215	0.2702297484
216	0.2701711085
217	0.2700114978
218	0.2698895185
219	0.2697925279
220	0.2697032834
221	0.2696224668
222	0.2694983006
223	0.2693822192
224	0.269317784
225	0.2692679199
226	0.2691640097
227	0.2690410999
228	0.2689957347
229	0.268870748
230	0.268753726
231	0.2687276015
232	0.2686363366
233	0.2685200143
234	0.268454991
235	0.2683539013
236	0.2682186568
237	0.2681672106
238	0.2680294152
239	0.2679256232
240	0.2678392421
241	0.2677798278
242	0.2676664966
243	0.2675995226
244	0.2674367376
245	0.2673213703
246	0.2672314204
247	0.2670986048
